Date,Open,High,Low,Close,Adj Close,Volume
04/01/2010,30.49,30.642857,30.34,30.572857,20.696493,123432400
05/01/2010,30.66,30.798571,30.464285,30.625713,20.732279,150476200
06/01/2010,30.63,30.747143,30.107143,30.138571,20.402502,138040000
07/01/2010,30.25,30.285715,29.864286,30.082857,20.364788,119282800
08/01/2010,30.04,30.285715,29.865715,30.282858,20.500179,111902700
11/01/2010,30.40,30.428572,29.778572,30.015715,20.319336,115557400
12/01/2010,29.88,29.967142,29.488571,29.674286,20.088202,148614900
13/01/2010,29.70,30.132856,29.157143,30.092857,20.371561,151473000
14/01/2010,30.02,30.065714,29.860001,29.918571,20.253574,108223500
15/01/2010,30.13,30.228571,29.41,29.418571,19.915094,148516900
19/01/2010,29.76,30.741428,29.605715,30.719999,20.796104,182501900
20/01/2010,30.70,30.792856,29.928572,30.247143,20.476,153038200
21/01/2010,30.30,30.472857,29.601429,29.724285,20.122047,152038600
22/01/2010,29.54,29.642857,28.165714,28.25,19.124025,220441900
25/01/2010,28.93,29.242857,28.598572,29.01,19.638506,266424900
26/01/2010,29.42,30.530001,28.940001,29.42,19.916063,466777500
27/01/2010,29.55,30.082857,28.504286,29.697144,20.103672,430642100
28/01/2010,29.28,29.357143,28.385714,28.469999,19.272951,293375600
29/01/2010,28.73,28.885714,27.178572,27.437143,18.573753,311488100
01/02/2010,27.48,28,27.328571,27.818571,18.831961,187469100
02/02/2010,27.99,28.045713,27.625713,27.98,18.941244,174585600
03/02/2010,27.88,28.6,27.774286,28.461428,19.267147,153832000
04/02/2010,28.10,28.338572,27.367144,27.435715,18.572784,189413000
05/02/2010,27.52,28,27.264286,27.922857,18.902557,212576700
08/02/2010,27.96,28.268572,27.714285,27.731428,18.77297,119567700
09/02/2010,28.06,28.214285,27.821428,28.027143,18.973154,158221700
10/02/2010,27.98,28.085714,27.751429,27.874287,18.869675,92590400
11/02/2010,27.84,28.535715,27.722857,28.381428,19.212997,137586400
12/02/2010,28.30,28.805714,27.928572,28.625713,19.378365,163867200
16/02/2010,28.85,29.098572,28.788572,29.057142,19.67042,135934400
17/02/2010,29.17,29.187143,28.694286,28.935715,19.588223,109099200
18/02/2010,28.80,29.127142,28.702858,28.99,19.624966,105706300
19/02/2010,28.84,29.028572,28.73,28.809999,19.50312,103867400
22/02/2010,28.91,28.928572,28.455715,28.631428,19.382231,97640900
23/02/2010,28.57,28.761429,27.95857,28.151428,19.057297,143773700
24/02/2010,28.32,28.777143,28.262857,28.665714,19.405443,115141600
25/02/2010,28.20,28.98,28.127142,28.857143,19.535032,166281500
26/02/2010,28.91,29.309999,28.857143,29.231428,19.788408,126865200
01/03/2010,29.39,29.928572,29.35,29.855715,20.211018,137523400
02/03/2010,29.99,30.118572,29.677143,29.835714,20.197483,141636600
03/03/2010,29.85,29.981428,29.705715,29.904285,20.2439,93013200
04/03/2010,29.90,30.131428,29.804285,30.101429,20.377357,91510300
05/03/2010,30.71,31.385714,30.661428,31.278572,21.174236,224905100
08/03/2010,31.43,31.441429,31.178572,31.297142,21.186804,107472400
09/03/2010,31.19,32.142857,31.127142,31.860001,21.567835,230064800
10/03/2010,31.98,32.21143,31.885714,32.119999,21.743849,149054500
11/03/2010,31.99,32.214287,31.902857,32.214287,21.807678,101425100
12/03/2010,32.48,32.532856,32.25,32.371429,21.914051,104080900
15/03/2010,32.20,32.214287,31.464285,31.977142,21.647135,123375700
16/03/2010,32.03,32.139999,31.787144,32.064285,21.706127,111727000
17/03/2010,32.13,32.349998,31.895714,32.017143,21.674217,112739200
18/03/2010,32.01,32.142857,31.801428,32.092857,21.72547,85527400
19/03/2010,32.11,32.177143,31.604286,31.75,21.49337,139861400
22/03/2010,31.50,32.285713,31.450001,32.107143,21.73514,114104900
23/03/2010,32.23,32.682858,32.014286,32.622856,22.084255,150607800
24/03/2010,32.52,32.885715,32.501427,32.767143,22.181929,149445100
25/03/2010,32.99,32.995716,32.32143,32.378571,21.918886,135571100
26/03/2010,32.71,33.135715,32.650002,32.985714,22.329893,160218800
29/03/2010,33.29,33.41,33.08857,33.19857,22.473989,135186100
30/03/2010,33.80,33.925713,33.464287,33.692856,22.808598,131827500
31/03/2010,33.64,33.80143,33.494286,33.57143,22.726398,107664900
01/04/2010,33.92,34.104286,33.25,33.709999,22.820208,150786300
05/04/2010,33.57,34.072857,33.53857,34.07,23.063911,171126900
06/04/2010,34.03,34.32,33.857143,34.220001,23.165457,111754300
07/04/2010,34.22,34.560001,34.094284,34.371429,23.267965,157125500
08/04/2010,34.35,34.505714,34.005714,34.278572,23.205103,143247300
09/04/2010,34.49,34.555714,34.351429,34.541428,23.383047,83545700
12/04/2010,34.60,34.724285,34.544285,34.612858,23.431398,83256600
13/04/2010,34.55,34.685715,34.444286,34.632858,23.444941,76552700
14/04/2010,35.04,35.115715,34.867142,35.098572,23.76021,101019100
15/04/2010,35.11,35.575714,35.072857,35.560001,24.072575,94196200
16/04/2010,35.51,35.877144,34.935715,35.342857,23.925577,187636400
19/04/2010,35.29,35.412857,34.53857,35.295715,23.893663,141731100
20/04/2010,35.51,35.607143,34.708572,34.941429,23.65383,184581600
21/04/2010,36.97,37.17857,36.532856,37.031429,25.068672,245597800
22/04/2010,36.89,38.107143,36.599998,38.067142,25.769798,198356200
23/04/2010,38.28,38.882858,38.142857,38.689999,26.19145,199238900
26/04/2010,38.84,38.922855,38.312859,38.5,26.06283,119767200
27/04/2010,38.18,38.262856,37.217144,37.434284,25.341383,177335900
28/04/2010,37.61,37.714287,36.630001,37.371429,25.298836,189600600
29/04/2010,37.57,38.57143,37.43,38.377144,25.979658,139710200
30/04/2010,38.47,38.652859,37.285713,37.298573,25.24951,135615900
03/05/2010,37.69,38.26857,37.554287,38.049999,25.758198,113585500
